time	V(vg)	(1/72.25u)*(d(Ig(M1))/d(V(vg)))	(1/72.25u)*(d(Ig(M2))/d(V(vg)))
0.000000000000000e+000	-1.999994e+000	-5.697873e-011	-1.226008e-013
2.039966079992171e-003	-1.993874e+000	-5.416141e-011	0.000000e+000
4.087966079992038e-003	-1.987730e+000	-5.423721e-011	0.000000e+000
6.135966079992310e-003	-1.981586e+000	-5.441986e-011	0.000000e+000
8.183966079992581e-003	-1.975442e+000	-5.460358e-011	0.000000e+000
1.023196607999285e-002	-1.969298e+000	-5.477149e-011	0.000000e+000
1.227996607999313e-002	-1.963154e+000	-5.495467e-011	0.000000e+000
1.432796607999340e-002	-1.957010e+000	-5.515312e-011	0.000000e+000
1.637596607999302e-002	-1.950866e+000	-5.533577e-011	0.000000e+000
1.842396607999151e-002	-1.944722e+000	-5.550422e-011	0.000000e+000
2.047196607999001e-002	-1.938578e+000	-5.568740e-011	0.000000e+000
2.251996607998850e-002	-1.932434e+000	-5.587059e-011	0.000000e+000
2.456796607998700e-002	-1.926290e+000	-5.606903e-011	0.000000e+000
2.661596607998550e-002	-1.920146e+000	-5.625167e-011	0.000000e+000
2.866396607998399e-002	-1.914002e+000	-5.642013e-011	0.000000e+000
3.071196607998249e-002	-1.907858e+000	-5.661858e-011	0.000000e+000
3.275996607998360e-002	-1.901714e+000	-5.681703e-011	0.000000e+000
3.480796607998565e-002	-1.895570e+000	-5.696968e-011	0.000000e+000
3.685596607998769e-002	-1.889426e+000	-5.715231e-011	0.000000e+000
3.890396607998974e-002	-1.883282e+000	-5.736657e-011	0.000000e+000
4.095196607999179e-002	-1.877138e+000	-5.754976e-011	0.000000e+000
4.299996607999384e-002	-1.870994e+000	-5.773238e-011	0.000000e+000
4.504796607999589e-002	-1.864850e+000	-5.791612e-011	0.000000e+000
4.709596607999794e-002	-1.858706e+000	-5.811457e-011	0.000000e+000
4.914396607999998e-002	-1.852562e+000	-5.831302e-011	0.000000e+000
5.119196608000203e-002	-1.846418e+000	-5.848093e-011	0.000000e+000
5.323996608000408e-002	-1.840274e+000	-5.867881e-011	0.000000e+000
5.528796608000613e-002	-1.834130e+000	-5.887783e-011	0.000000e+000
5.733596608000818e-002	-1.827986e+000	-5.904574e-011	0.000000e+000
5.938396608001022e-002	-1.821842e+000	-5.924419e-011	0.000000e+000
6.143196608001227e-002	-1.815698e+000	-5.944264e-011	0.000000e+000
6.347996608001431e-002	-1.809554e+000	-5.962524e-011	0.000000e+000
6.552796608001636e-002	-1.803410e+000	-5.980900e-011	0.000000e+000
6.757596608001841e-002	-1.797266e+000	-5.999219e-011	0.000000e+000
6.962396608002046e-002	-1.791122e+000	-6.020590e-011	0.000000e+000
7.167196608002251e-002	-1.784978e+000	-6.040435e-011	0.000000e+000
7.371996608002455e-002	-1.778834e+000	-6.057168e-011	0.000000e+000
7.576796608002660e-002	-1.772690e+000	-6.077071e-011	0.000000e+000
7.781596608002865e-002	-1.766546e+000	-6.096916e-011	0.000000e+000
7.986396608003070e-002	-1.760402e+000	-6.116761e-011	0.000000e+000
8.191196608003275e-002	-1.754258e+000	-6.136605e-011	0.000000e+000
8.395996608003480e-002	-1.748114e+000	-6.154864e-011	0.000000e+000
8.600796608003684e-002	-1.741970e+000	-6.173242e-011	0.000000e+000
8.805596608003889e-002	-1.735826e+000	-6.193087e-011	0.000000e+000
9.010396608004094e-002	-1.729682e+000	-6.214458e-011	0.000000e+000
9.215196608004299e-002	-1.723538e+000	-6.234303e-011	0.000000e+000
9.419996608004504e-002	-1.717394e+000	-6.251034e-011	0.000000e+000
9.624796608004708e-002	-1.711250e+000	-6.270939e-011	0.000000e+000
9.829596608004913e-002	-1.705106e+000	-6.292310e-011	0.000000e+000
1.003439660800512e-001	-1.698962e+000	-6.310567e-011	0.000000e+000
1.023919660800532e-001	-1.692818e+000	-6.328947e-011	0.000000e+000
1.044399660800553e-001	-1.686674e+000	-6.350318e-011	0.000000e+000
1.064879660800573e-001	-1.680530e+000	-6.370163e-011	0.000000e+000
1.085359660800594e-001	-1.674386e+000	-6.388481e-011	-1.068563e-013
1.105839660800614e-001	-1.668242e+000	-6.408263e-011	-4.884813e-013
1.126319660800635e-001	-1.662098e+000	-6.428170e-011	-7.632594e-013
1.146799660800655e-001	-1.655954e+000	-6.448015e-011	-7.785246e-013
1.167279660800676e-001	-1.649810e+000	-6.487705e-011	-8.243201e-013
1.187759660800696e-001	-1.643666e+000	-6.538080e-011	-8.701157e-013
1.208239660800717e-001	-1.637522e+000	-6.570073e-011	-9.006373e-013
1.228719660800737e-001	-1.631378e+000	-6.591508e-011	-9.311764e-013
1.249199660800758e-001	-1.625234e+000	-6.612879e-011	-9.769720e-013
1.269679660800778e-001	-1.619090e+000	-6.637303e-011	-1.022768e-012
1.290159660800798e-001	-1.612946e+000	-6.658675e-011	-1.053298e-012
1.310639660800819e-001	-1.606802e+000	-6.679981e-011	-1.099083e-012
1.331119660800839e-001	-1.600658e+000	-6.704470e-011	-1.144889e-012
1.351599660800860e-001	-1.594514e+000	-6.728895e-011	-1.190685e-012
1.372079660800880e-001	-1.588370e+000	-6.751792e-011	-1.251745e-012
1.392559660800901e-001	-1.582226e+000	-6.774690e-011	-1.312806e-012
1.413039660800921e-001	-1.576082e+000	-6.797522e-011	-1.373854e-012
1.433519660800942e-001	-1.569938e+000	-6.822012e-011	-1.434928e-012
1.453999660800962e-001	-1.563794e+000	-6.844910e-011	-1.480723e-012
1.474479660800983e-001	-1.557650e+000	-6.867741e-011	-1.526504e-012
1.494959660801003e-001	-1.551506e+000	-6.893759e-011	-1.602845e-012
1.515439660801024e-001	-1.545362e+000	-6.918183e-011	-1.679171e-012
1.535919660801044e-001	-1.539218e+000	-6.944134e-011	-1.770762e-012
1.556399660801065e-001	-1.533074e+000	-6.968558e-011	-1.847088e-012
1.576879660801085e-001	-1.526930e+000	-6.991388e-011	-1.923395e-012
1.597359660801106e-001	-1.520786e+000	-7.017407e-011	-1.999740e-012
1.617839660801126e-001	-1.514642e+000	-7.043357e-011	-2.076065e-012
1.638319660801147e-001	-1.508498e+000	-7.069308e-011	-2.182922e-012
1.658799660801167e-001	-1.502354e+000	-7.093733e-011	-2.289778e-012
1.679279660801188e-001	-1.496210e+000	-7.119614e-011	-2.396611e-012
1.699759660801208e-001	-1.490066e+000	-7.148687e-011	-2.472960e-012
1.720239660801229e-001	-1.483922e+000	-7.174638e-011	-2.579817e-012
1.740719660801249e-001	-1.477778e+000	-7.200589e-011	-2.717203e-012
1.761199660801270e-001	-1.471634e+000	-7.228066e-011	-2.854590e-012
1.781679660801290e-001	-1.465490e+000	-7.257000e-011	-2.961418e-012
1.802159660801311e-001	-1.459346e+000	-7.284547e-011	-3.083568e-012
1.822639660801331e-001	-1.453202e+000	-7.312025e-011	-3.251485e-012
1.843119660801351e-001	-1.447058e+000	-7.342555e-011	-3.388872e-012
1.863599660801372e-001	-1.440914e+000	-7.370032e-011	-3.541523e-012
1.884079660801392e-001	-1.434770e+000	-7.398965e-011	-3.724670e-012
1.904559660801413e-001	-1.428626e+000	-7.431093e-011	-3.892623e-012
1.925039660801433e-001	-1.422482e+000	-7.463150e-011	-4.060540e-012
1.945519660801454e-001	-1.416338e+000	-7.492154e-011	-4.243722e-012
1.965999660801474e-001	-1.410194e+000	-7.522684e-011	-4.457435e-012
1.986479660801495e-001	-1.404050e+000	-7.556194e-011	-4.671102e-012
2.006959660801515e-001	-1.397906e+000	-7.589851e-011	-4.884860e-012
2.027439660801536e-001	-1.391762e+000	-7.623435e-011	-5.113838e-012
2.047919660801556e-001	-1.385618e+000	-7.655417e-011	-5.358029e-012
2.068399660801577e-001	-1.379474e+000	-7.690601e-011	-5.632854e-012
2.088879660801597e-001	-1.373330e+000	-7.727238e-011	-5.892362e-012
2.109359660801618e-001	-1.367186e+000	-7.763874e-011	-6.182401e-012
2.129839660801638e-001	-1.361042e+000	-7.800511e-011	-6.487705e-012
